Italian,English
caso,case
forza,Force
dov',where's
tutte,all
pensi,you think
signora,Lady
faccio,I do
nome,name
avuto,had
problema,problem
altri,others
puo,can
aver,have
mondo,world
tutta,all
preso,taken 
nulla,Nothing
nostra,our
donna,woman
stare,stay
basta,Enough
insieme,Together
faccia,face
ragazza,lass
subito,right away
famiglia,family
ragazzo,lad
volevo,I wanted
okay,okay
sentito,sense
ah,ah
stesso,same
ragione,reason
sarà,will be
tuoi,yours
capito,Understood
notte,Night
volte,times
testa,head
serve,it helps
tesoro,treasure
sotto,under
eh,eh
suoi,his
vado,I go
sara,will be
dato,given
stiamo,we are
bella,Pretty
scusa,Excuse me
erano,they were
pensavo,I thought
avrei,I would have
prendere,take
buona,Good
porta,brings
bello,Handsome
moglie,wife
vorrei,I would like
storia,history
succede,happens
morto,died
cercando,looking
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,after you
capisco,I understand
secondo,second
venire,come
polizia,police
lì,there
avrebbe,would have
stanno,they are
mentre,While
letto,Bed
fino,until
dico,I say
amici,friends
fine,end
aiuto,help
paura,fear
fratello,Brother
stavo,I was
uomini,men
nell',in the'
domani,Tomorrow
facciamo,we do
abbastanza,Enough
capo,boss
amore,Love
nei,in the
ucciso,killed
state,stay
piano,floor
macchina,machine
trovare,find
comunque,Anyway
vediamo,We see
giorni,days
nemmeno,neither
mano,hand
dall',from
presto,Soon
stati,states
merda,shit
far,do
bambino,child
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,not even
sera,evening
giro,tour
morte,death
e',And'
qua,here
pensato,thought
buon,Good
anno,year
mie,my
diavolo,devil
quasi,Almost
piacere,Pleasure
bel,nice
dovrei,I should
nessun,no
contro,against
stessa,itself
felice,happy
colpa,guilt
punto,point
andata,gone
dovrebbe,should
vedi,you see
quale,Which
chiesto,asked
invece,Instead
perchè,Why
migliore,improve
nostri,our
finito,finished
figlia,Daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,Perhaps
minuti,minutes
terra,Earth
vostra,yours
strada,street
sola,alone
credi,believe
importante,important
sue,his
salve,Greetings
settimana,week
perso,lost
uscire,go out
parlato,spoke
papà,Pope
stasera,this evening
scusi,Excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,last
possibile,possible
scuola,school
significa,means
sapevo,I knew
nelle,in
potrei,I could
stava,was
bambini,children
eri,you were
importa,matters
indietro,backwards
riesco,I am able to
sangue,blood
chiama,call
messo,put in order
piccolo,small
traduzione,translation
tardi,late
cuore,Heart
marito,Husband
viene,he comes
venuto,came
ieri,Yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,Listen
difficile,difficult
quell',that
auto,car
chiamato,called
ciò,that is
altre,other
parlando,speaking
pensare,think
fantastico,Fantastic
fatta,done
numero,number
veramente,Truly
fanno,they do
com',how's it
serio,serious
possa,can
fossi,I was
entrare,enter
anch',too
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,waterfall
portato,carried
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,leaves
amo,I love
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,it seems
sentire,feel
foto,photo
telefono,telephone
voleva,he wanted
poco,little
prendi,you take
